rank,mark,wind,competitor,dob,nat,pos,empty_col,venue,date,results_score
1,9.76,+0.6,Christian COLEMAN,06 MAR 1996,USA,1f,,"Khalifa International Stadium, Doha (QAT)",28 SEP 2019,1291
2,9.81,-0.1,Christian COLEMAN,06 MAR 1996,USA,1,,"Palo Alto, CA (USA)",30 JUN 2019,1273
3,9.85,+0.9,Christian COLEMAN,06 MAR 1996,USA,1,,"Bislett, Oslo (NOR)",13 JUN 2019,1259
4,9.86,+0.9,Noah LYLES,18 JUL 1997,USA,1,,"SS, Shanghai (CHN)",18 MAY 2019,1255
4,9.86,+0.9,Christian COLEMAN,06 MAR 1996,USA,2,,"SS, Shanghai (CHN)",18 MAY 2019,1255
4,9.86,+0.8,Divine ODUDURU,07 OCT 1996,NGR,1,,"Austin, TX (USA)",07 JUN 2019,1255
7,9.87,-0.1,Justin GATLIN,10 FEB 1982,USA,2,,"Palo Alto, CA (USA)",30 JUN 2019,1252
8,9.88,-0.3,Christian COLEMAN,06 MAR 1996,USA,1sf1,,"Khalifa International Stadium, Doha (QAT)",28 SEP 2019,1249
9,9.89,+0.6,Justin GATLIN,10 FEB 1982,USA,2f,,"Khalifa International Stadium, Doha (QAT)",28 SEP 2019,1245
10,9.90,+0.6,Andre DE GRASSE,10 NOV 1994,CAN,3f,,"Khalifa International Stadium, Doha (QAT)",28 SEP 2019,1241
11,9.91,+0.3,Justin GATLIN,10 FEB 1982,USA,1,,"Stade Louis II, Monaco (MON)",12 JUL 2019,1238
12,9.92,+0.2,Justin GATLIN,10 FEB 1982,USA,1,,"Pontaise, Lausanne (SUI)",05 JUL 2019,1234
12,9.92,+0.3,Noah LYLES,18 JUL 1997,USA,2,,"Stade Louis II, Monaco (MON)",12 JUL 2019,1234
14,9.93,+0.8,Cravon GILLESPIE,31 JUL 1996,USA,2,,"Austin, TX (USA)",07 JUN 2019,1231
14,9.93,+0.5,Akani SIMBINE,21 SEP 1993,RSA,1,,"Olympic Stadium, London (GBR)",20 JUL 2019,1231
14,9.93,+1.9,Arthur CISSÉ,29 DEC 1996,CIV,1,,Leverkusen (GER),24 JUL 2019,1231
14,9.93,+0.6,Akani SIMBINE,21 SEP 1993,RSA,4f,,"Khalifa International Stadium, Doha (QAT)",28 SEP 2019,1231
18,9.94,+0.8,Divine ODUDURU,07 OCT 1996,NGR,1f4,,"Waco, TX (USA)",20 APR 2019,1227
19,9.95,+0.9,Akani SIMBINE,21 SEP 1993,RSA,3,,"SS, Shanghai (CHN)",18 MAY 2019,1224
19,9.95,+0.5,Zharnel HUGHES,13 JUL 1995,GBR,2,,"Olympic Stadium, London (GBR)",20 JUL 2019,1224
21,9.96,+0.4,Yohan BLAKE,26 DEC 1989,JAM,1,,Kingston (JAM),21 JUN 2019,1220
21,9.96,-0.4,Zharnel HUGHES,13 JUL 1995,GBR,1h2,,"Olympic Stadium, London (GBR)",20 JUL 2019,1222
21,9.96,-0.1,Christian COLEMAN,06 MAR 1996,USA,1sf2,,"Drake Stadium, Des Moines, IA (USA)",26 JUL 2019,1220
21,9.96,+1.7,Aaron BROWN,27 MAY 1992,CAN,1sf3,,Montreal (CAN),26 JUL 2019,1220
21,9.96,+1.6,Raymond EKEVWO,23 MAR 1999,NGR,1,,"Prince Moulay Abdellah, Rabat (MAR)",27 AUG 2019,1220
26,9.97,+0.2,Cravon GILLESPIE,31 JUL 1996,USA,1,,"Tucson, AZ (USA)",12 MAY 2019,1217
26,9.97,+0.9,Reece PRESCOD,29 FEB 1996,GBR,4,,"SS, Shanghai (CHN)",18 MAY 2019,1217
26,9.97,+0.8,Abdul Hakim SANI BROWN,06 MAR 1999,JPN,3,,"Austin, TX (USA)",07 JUN 2019,1217
26,9.97,+0.9,Zharnel HUGHES,13 JUL 1995,GBR,1f1,,Kingston (JAM),08 JUN 2019,1217
26,9.97,-0.1,Zharnel HUGHES,13 JUL 1995,GBR,3,,"Palo Alto, CA (USA)",30 JUN 2019,1217
26,9.97,+0.5,Yohan BLAKE,26 DEC 1989,JAM,3,,"Olympic Stadium, London (GBR)",20 JUL 2019,1217
26,9.97,+1.6,Michael RODGERS,24 APR 1985,USA,1,,"Estadio Vallehermoso, Madrid (ESP)",25 AUG 2019,1217
26,9.97,+1.6,Arthur CISSÉ,29 DEC 1996,CIV,2,,"Prince Moulay Abdellah, Rabat (MAR)",27 AUG 2019,1217
26,9.97,+1.4,Andre DE GRASSE,10 NOV 1994,CAN,1,,"Olympiastadion, Berlin (GER)",01 SEP 2019,1217
26,9.97,0.0,Justin GATLIN,10 FEB 1982,USA,1f1,,Bellinzona (SUI),01 SEP 2019,1217
26,9.97,+0.6,Yohan BLAKE,26 DEC 1989,JAM,5f,,"Khalifa International Stadium, Doha (QAT)",28 SEP 2019,1217
37,9.98,+1.0,Roberto SKYERS,12 NOV 1991,CUB,1f1,,Camagüey (CUB),22 FEB 2019,1213
37,9.98,+0.3,Yohan BLAKE,26 DEC 1989,JAM,1f1,,"Clermont, FL (USA)",05 MAY 2019,1213
37,9.98,+1.3,Mario BURKE,18 MAR 1997,BAR,1sf2,,"Austin, TX (USA)",05 JUN 2019,1213
37,9.98,+0.5,Yuki KOIKE,13 MAY 1995,JPN,4,,"Olympic Stadium, London (GBR)",20 JUL 2019,1213
37,9.98,+1.1,Andre DE GRASSE,10 NOV 1994,CAN,1sf1,,Montreal (CAN),26 JUL 2019,1213
37,9.98,-0.4,Noah LYLES,18 JUL 1997,USA,1,,Zürich (SUI),29 AUG 2019,1215
37,9.98,+0.1,Christian COLEMAN,06 MAR 1996,USA,1h6,,"Khalifa International Stadium, Doha (QAT)",27 SEP 2019,1213
44,9.99,+1.8,Abdul Hakim SANI BROWN,06 MAR 1999,JPN,1,,"Fayetteville, AR (USA)",11 MAY 2019,1210
44,9.99,+0.3,Divine ODUDURU,07 OCT 1996,NGR,1,,"Norman, OK (USA)",12 MAY 2019,1210
44,9.99,+1.8,Isiah YOUNG,05 JAN 1990,USA,1f1,,"Montverde, FL (USA)",06 JUL 2019,1210
44,9.99,+0.5,Andre DE GRASSE,10 NOV 1994,CAN,5,,"Olympic Stadium, London (GBR)",20 JUL 2019,1210
44,9.99,-1.0,Christian COLEMAN,06 MAR 1996,USA,1,,"Drake Stadium, Des Moines, IA (USA)",26 JUL 2019,1216
44,9.99,+1.4,Akani SIMBINE,21 SEP 1993,RSA,2,,"Olympiastadion, Berlin (GER)",01 SEP 2019,1210
50,10.00,+1.7,Justin GATLIN,10 FEB 1982,USA,1,,"Nagai Stadium, Osaka (JPN)",19 MAY 2019,1206
50,10.00,+1.3,Michael RODGERS,24 APR 1985,USA,1,,"Paavo Nurmi, Turku (FIN)",11 JUN 2019,1206
